Date,Close
2025-05-28,356.8999938964844
2025-05-29,358.42999267578125
2025-05-30,346.4599914550781
2025-06-02,342.69000244140625
2025-06-03,344.2699890136719
2025-06-04,332.04998779296875
2025-06-05,284.70001220703125
2025-06-06,295.1400146484375
2025-06-09,308.5799865722656
2025-06-10,326.0899963378906
2025-06-11,326.42999267578125
2025-06-12,319.1099853515625
2025-06-13,325.30999755859375
2025-06-16,329.1300048828125
2025-06-17,316.3500061035156
2025-06-18,322.04998779296875
2025-06-20,322.1600036621094
2025-06-23,348.67999267578125
2025-06-24,340.4700012207031
2025-06-25,327.54998779296875
2025-06-26,325.7799987792969
2025-06-27,323.6300048828125
2025-06-30,317.6600036621094
2025-07-01,300.7099914550781
2025-07-02,315.6499938964844
2025-07-03,315.3500061035156
2025-07-07,293.94000244140625
2025-07-08,297.80999755859375
2025-07-09,295.8800048828125
2025-07-10,309.8699951171875
2025-07-11,313.510009765625
2025-07-14,316.8999938964844
2025-07-15,310.7799987792969
2025-07-16,321.6700134277344
2025-07-17,319.4100036621094
2025-07-18,329.6499938964844
2025-07-21,328.489990234375
2025-07-22,332.1099853515625
2025-07-23,332.55999755859375
2025-07-24,305.29998779296875
2025-07-25,316.05999755859375
2025-07-28,325.5899963378906
2025-07-29,321.20001220703125
2025-07-30,319.0400085449219
2025-07-31,308.2699890136719
2025-08-01,302.6300048828125
2025-08-04,309.260009765625
2025-08-05,308.7200012207031
2025-08-06,319.9100036621094
2025-08-07,322.2699890136719
2025-08-08,329.6499938964844
2025-08-11,339.0299987792969
2025-08-12,340.8399963378906
2025-08-13,339.3800048828125
2025-08-14,335.5799865722656
2025-08-15,330.55999755859375
2025-08-18,335.1600036621094
2025-08-19,329.30999755859375
2025-08-20,323.8999938964844
2025-08-21,320.1099853515625
2025-08-22,340.010009765625
2025-08-25,346.6000061035156
2025-08-26,351.6700134277344
2025-08-27,349.6000061035156
2025-08-28,345.9800109863281
2025-08-29,333.8699951171875
